epoch,train_loss,train_cos_loss,train_value_loss,val_loss,val_cos_loss,val_value_loss,timestamp
0,0.03502895188623569,0.05353403634447994,0.03502895188623569,0.016106156166019528,0.02257134035414202,0.016106156166019528,2025-08-23 13:08:21
1,0.017755524736509896,0.02404891505347326,0.017755524736509896,0.01410735719195172,0.01997992785714836,0.01410735719195172,2025-08-23 14:51:36
2,0.01417267534257092,0.019220041028023573,0.01417267534257092,0.011306647068560324,0.016501747488157657,0.011306647068560324,2025-08-23 16:29:00
3,0.010963719951084598,0.01489985497528503,0.010963719951084598,0.00858211550996246,0.012131633131653868,0.00858211550996246,2025-08-23 18:02:45
4,0.009470923269195939,0.012936273012057848,0.009470923269195939,0.00804805877672102,0.011665295130028383,0.00804805877672102,2025-08-23 19:35:56
5,0.008646635255838924,0.011882371729569019,0.008646635255838924,0.007382657994183311,0.010797173929945572,0.007382657994183311,2025-08-23 21:08:41
6,0.00810399419222635,0.011178020303485203,0.00810399419222635,0.007184084327804196,0.010073345824028832,0.007184084327804196,2025-08-23 22:48:54
7,0.007666354209872489,0.010585467181500323,0.007666354209872489,0.0068224101387203695,0.009824555375335248,0.0068224101387203695,2025-08-24 00:26:21
8,0.0073149660930883105,0.01013038135257264,0.0073149660930883105,0.0065607443234323454,0.009331031234927446,0.0065607443234323454,2025-08-24 02:04:56
9,0.007016586268111382,0.009712341553907588,0.007016586268111382,0.00652478748017366,0.009370108455459436,0.00652478748017366,2025-08-24 03:44:22
10,0.006747114613551261,0.009374689026028423,0.006747114613551261,0.006366459939222399,0.009149872954720395,0.006366459939222399,2025-08-24 05:23:25
11,0.006510259950783825,0.009061442778031918,0.006510259950783825,0.00630915055295809,0.009161562996092372,0.00630915055295809,2025-08-24 06:58:40
12,0.006265366713151983,0.008743990146418806,0.006265366713151983,0.00634790408840201,0.008976488050018529,0.00634790408840201,2025-08-24 08:34:40
