epoch,train_loss,train_cos_loss,train_value_loss,val_loss,val_cos_loss,val_value_loss,timestamp
0,0.06094305560135828,0.11056055860275235,0.06094305560135828,0.016385575159237168,0.022549126832091426,0.016385575159237168,2025-08-22 16:16:44
1,0.01841190332080906,0.02454731797874142,0.01841190332080906,0.013942106286564985,0.01976254470322226,0.013942106286564985,2025-08-22 17:53:47
2,0.015021842580976491,0.02017599446325653,0.015021842580976491,0.011549272206069595,0.01632119656117805,0.011549272206069595,2025-08-22 19:29:49
3,0.012166893015547804,0.016366076811344558,0.012166893015547804,0.009100088800417093,0.012852030830555054,0.009100088800417093,2025-08-22 21:05:56
4,0.01027850628494459,0.013904044614449556,0.01027850628494459,0.008367821949483002,0.01162157317628483,0.008367821949483002,2025-08-22 22:48:24
5,0.009267593529664362,0.012596903099320336,0.009267593529664362,0.00840765968154632,0.0117253758894701,0.00840765968154632,2025-08-23 00:29:27
6,0.008550805662338476,0.011674405394026295,0.008550805662338476,0.007368090758885604,0.01059148551514709,0.007368090758885604,2025-08-23 02:11:42
7,0.008076985729758363,0.011091269847985835,0.008076985729758363,0.006902431586066603,0.009945734034989334,0.006902431586066603,2025-08-23 03:52:50
8,0.007651191134582143,0.010527756768749435,0.007651191134582143,0.007060593736533779,0.009976786556946666,0.007060593736533779,2025-08-23 05:31:07
9,0.007293149661682946,0.010057481445155444,0.007293149661682946,0.0066275928740500605,0.00954978477267157,0.0066275928740500605,2025-08-23 07:07:13
10,0.006985503313289919,0.009626243576903858,0.006985503313289919,0.006699456266343214,0.00971309323340076,0.006699456266343214,2025-08-23 08:42:49
11,0.006741619870573585,0.009323209319063865,0.006741619870573585,0.006453093992847914,0.009282126105134906,0.006453093992847914,2025-08-23 10:18:03
