epoch,train_loss,train_cos_loss,train_value_loss,val_loss,val_cos_loss,val_value_loss,timestamp
15,0.006382600412999066,0.008903593325304875,0.006382600412999066,0.005317918719085484,0.007682095163026787,0.005317918719085484,2025-08-24 13:11:59
16,0.006089265699398965,0.00847056217624147,0.006089265699398965,0.005499575099156025,0.007472854129124777,0.005499575099156025,2025-08-24 14:28:01
17,0.005859793051824874,0.00817179057604088,0.005859793051824874,0.005517782522814281,0.007838633170144426,0.005517782522814281,2025-08-24 15:46:44
18,0.00564544222526408,0.007876747099284076,0.00564544222526408,0.005501003749855611,0.007745089863739917,0.005501003749855611,2025-08-24 17:03:38
19,0.00547426904513296,0.007633437154333953,0.00547426904513296,0.005759874506513158,0.008217184521367592,0.005759874506513158,2025-08-24 18:18:45
20,0.005281404934309208,0.00733806349795663,0.005281404934309208,0.005414898905010427,0.007820197790325027,0.005414898905010427,2025-08-24 19:38:17
21,0.005122542602416571,0.0071158670856581105,0.005122542602416571,0.005538966678147774,0.007783803107638356,0.005538966678147774,2025-08-24 20:54:57
22,0.004958037351547855,0.00690520614651697,0.004958037351547855,0.005518338890182705,0.00785133288331689,0.005518338890182705,2025-08-24 22:16:01
23,0.004837551440403101,0.006740548908116243,0.004837551440403101,0.005785235707801449,0.0082320340708337,0.005785235707801449,2025-08-24 23:41:48
24,0.0046873738131270794,0.006508330337309874,0.0046873738131270794,0.005435752550855658,0.007651609030752935,0.005435752550855658,2025-08-25 01:04:14
