epoch,train_loss,train_cos_loss,train_value_loss,val_loss,val_cos_loss,val_value_loss,timestamp
15,0.00620488027601862,0.008669483163806845,0.00620488027601862,0.00513070142688292,0.007405849919845182,0.00513070142688292,2025-08-24 13:11:59
16,0.005932720463364298,0.008320773687720601,0.005932720463364298,0.005153807694556184,0.00725945067053369,0.005153807694556184,2025-08-24 14:28:01
17,0.00573670398049532,0.00806951628580378,0.00573670398049532,0.005162547394842747,0.007401357144005148,0.005162547394842747,2025-08-24 15:46:44
18,0.005523935827268324,0.007761855327715137,0.005523935827268324,0.005154750689208368,0.007266928546237878,0.005154750689208368,2025-08-24 17:03:38
19,0.005355424572014786,0.00748653459349013,0.005355424572014786,0.005107786511713103,0.007292015607988679,0.005107786511713103,2025-08-24 18:18:45
20,0.005152424162554538,0.007231849129114538,0.005152424162554538,0.005252885920527969,0.007581085697255301,0.005252885920527969,2025-08-24 19:38:17
21,0.005018805121458154,0.007041976529208786,0.005018805121458154,0.005434315383915541,0.007824026705532608,0.005434315383915541,2025-08-24 20:54:57
22,0.004889288037922812,0.006838945428830824,0.004889288037922812,0.005438405701546484,0.007799997930745364,0.005438405701546484,2025-08-24 22:16:01
23,0.004752752679031509,0.006653876374762259,0.004752752679031509,0.005391675552822041,0.007643948503304896,0.005391675552822041,2025-08-24 23:41:48
24,0.004634885363126166,0.006480191846103115,0.004634885363126166,0.00520062059010697,0.007509504306196189,0.00520062059010697,2025-08-25 01:04:14
