epoch,train_loss,train_cos_loss,train_value_loss,val_loss,val_cos_loss,val_value_loss,timestamp
0,0.044017885960449206,0.07285448843071617,0.044017885960449206,0.01614190944765945,0.02254552975262065,0.01614190944765945,2025-08-24 13:11:59
1,0.018039140093047225,0.02451320925021764,0.018039140093047225,0.014021467083349445,0.019723858908716453,0.014021467083349445,2025-08-24 14:28:01
2,0.014652009422873489,0.019953950685314848,0.014652009422873489,0.012327845874111575,0.017133671558465825,0.012327845874111575,2025-08-24 15:46:44
3,0.011505387648771806,0.015729927649287132,0.011505387648771806,0.008973774181646476,0.012532213995784242,0.008973774181646476,2025-08-24 17:03:38
4,0.00977018509766919,0.013434905928776787,0.00977018509766919,0.008054295443796329,0.011518736550063293,0.008054295443796329,2025-08-24 18:18:45
5,0.008872783239846728,0.012243929906221836,0.008872783239846728,0.007682066477481101,0.011089344570660088,0.007682066477481101,2025-08-24 19:38:17
6,0.00826362829538665,0.011443955582140076,0.00826362829538665,0.007167347872048776,0.010479381648322425,0.007167347872048776,2025-08-24 20:54:57
7,0.007810255635649656,0.010825962020964575,0.007810255635649656,0.006733406986230847,0.00954048260934202,0.006733406986230847,2025-08-24 22:16:01
8,0.007445631643419613,0.010361544354563712,0.007445631643419613,0.0066609080560465495,0.009453545881178445,0.0066609080560465495,2025-08-24 23:41:48
9,0.007093514453299987,0.009845688562305936,0.007093514453299987,0.006788217811689399,0.009516920886903882,0.006788217811689399,2025-08-25 01:04:14
10,0.006824220863172499,0.009453829554320307,0.006824220863172499,0.006445911914294703,0.009145441698222116,0.006445911914294703,2025-08-25 02:20:41
11,0.0065602464601397514,0.009109640083018584,0.0065602464601397514,0.00648224334652664,0.009384692480745246,0.00648224334652664,2025-08-25 03:37:15
12,0.006285152969674698,0.008716691681354784,0.006285152969674698,0.00679160896757271,0.00940309083831049,0.00679160896757271,2025-08-25 04:49:49
13,0.006074589894209446,0.00841075414817997,0.006074589894209446,0.006294547059352559,0.00889264422978762,0.006294547059352559,2025-08-25 06:00:56
14,0.005893254912663977,0.008156858890762796,0.005893254912663977,0.006446038281490186,0.009199220506995518,0.006446038281490186,2025-08-25 07:10:33
15,0.005662252267618584,0.007842722850289556,0.005662252267618584,0.006506891253527747,0.009497802861039857,0.006506891253527747,2025-08-25 08:20:53
16,0.005486973872663846,0.007574803802226304,0.005486973872663846,0.006408015277904958,0.008992673383796291,0.006408015277904958,2025-08-25 09:30:07
17,0.005311530824374136,0.007342956727239151,0.005311530824374136,0.006725658637058823,0.009879292715141373,0.006725658637058823,2025-08-25 10:39:06
18,0.005157978619690216,0.007126509072863823,0.005157978619690216,0.006257969832142573,0.008909963068229406,0.006257969832142573,2025-08-25 11:47:43
19,0.0050138590882628535,0.006898126669963248,0.0050138590882628535,0.0063910423874620655,0.009119640802029505,0.0063910423874620655,2025-08-25 12:56:24
20,0.004868600524084791,0.006700545413848717,0.004868600524084791,0.00653440168799416,0.00892577482695371,0.00653440168799416,2025-08-25 14:05:22
21,0.004734849514947696,0.006537415255765619,0.004734849514947696,0.006345074230473403,0.0088073968225928,0.006345074230473403,2025-08-25 15:13:58
22,0.00461385907544289,0.0063308563054750135,0.00461385907544289,0.006655613064249775,0.009861910611283846,0.006655613064249775,2025-08-25 16:23:37
23,0.004486529441852225,0.006171406882897626,0.004486529441852225,0.006184692507038713,0.008819008600452998,0.006184692507038713,2025-08-25 17:32:20
24,0.004400936214732904,0.006049171268528738,0.004400936214732904,0.00632322873231996,0.008800423110011153,0.00632322873231996,2025-08-25 18:40:31
